id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经度,纬度
12912,中仓小区 低楼层 两居室 满五年,中仓小区 , 2室1厅 , 64 ,9,4, 3个月以前发布,350.0,54688,通州,116.670345,39.912244
12913,碧水明珠 2室1厅 445万,碧水明珠 , 2室1厅 , 95 ,4,1, 21天以前发布,445.0,46843,通州,116.661469,39.93066
12914,长城国际 1室1厅 305万,长城国际 , 1室1厅 , 53.4 ,20,2, 29天以前发布,305.0,57117,通州,116.638919,39.900576
12915,南北通透 诚心出售 随时看房 送30多平面积 ,荔景园 , 2室1厅 , 87.68 ,13,3, 2个月以前发布,500.0,57026,通州,116.711337,39.9184
12916,满五年、大面积复式，南北通透户型好,柳岸景园 , 3室2厅 , 174.63 ,15,2, 1个月以前发布,690.0,39513,通州,116.70193,39.899597
12917,方恒东景 2室1厅 420万,方恒东景 , 2室1厅 , 84.04 ,6,1, 28天以前发布,420.0,49977,通州,116.694868,39.877962
12918,水仙园 3室1厅 630万,水仙园 , 3室1厅 , 130.16 ,16,3, 1个月以前发布,630.0,48402,通州,116.701064,39.920295
12919,官园小学西侧598米 南北通透小两居 赠送6平米扩建面积,通惠南路 , 2室1厅 , 53 ,14,11, 1个月以前发布,310.0,58491,通州,116.64999,39.909642
12920,潞河中学北宿舍区 2室1厅 390万,潞河中学北宿舍区 , 2室1厅 , 75.48 ,1,1, 18天以前发布,390.0,51670,通州,116.657086,39.907
12921,华龙小区 1室1厅 290万,华龙小区 , 1室1厅 , 54.17 ,15,1, 17天以前发布,290.0,53536,通州,116.695201,39.934643
12922,海棠湾一期 1室0厅 270万,海棠湾一期 , 1室0厅 , 44.88 ,12,1, 18天以前发布,270.0,60161,通州,116.671332,39.875677
12923,珠江逸景 两居双卫户型 精装修  看房方便,珠江逸景 , 2室1厅 , 95.56 ,19,1, 30天以前发布,300.0,31394,通州,116.549499,39.746067
12924,华业东方玫瑰 1室1厅 410万,华业东方玫瑰 , 1室1厅 , 68.03 ,14,1, 26天以前发布,410.0,60268,通州,116.690886,39.887582
12925,润枫领尚 2室1厅 455万,润枫领尚 , 2室1厅 , 87.11 ,12,1, 19天以前发布,455.0,52233,通州,116.561289,39.830621
12926,北苑135号院 2室1厅 290万,北苑135号院 , 2室1厅 , 53.08 ,37,5, 28天以前发布,290.0,54635,通州,116.644174,39.914073
12927,天赐良园西三期 2室2厅 445万,天赐良园西三期 , 2室2厅 , 96.34 ,22,5, 19天以前发布,445.0,46191,通州,116.642721,39.932375
12928,双面采光，户型方正，住家装修，省个税,华业东方玫瑰 , 2室1厅 , 80.32 ,80,30, 4个月以前发布,480.0,59761,通州,116.690886,39.887582
12929,葵花社 2室1厅 460万,葵花社 , 2室1厅 , 91.89 ,22,6, 24天以前发布,460.0,50060,通州,116.653315,39.897699
12930,一层带40平米花园二居室  已改地暖 满五年,阿尔法社区二期 , 2室2厅 , 91.24 ,15,4, 1个月以前发布,580.0,63569,通州,116.65235,39.876941
12931,九棵树城铁金融街电梯三居 业主急卖,K2玉蘭湾 , 3室2厅 , 138 ,57,99, 2个月以前发布,850.0,61595,通州,116.665685,39.894058
12932,京贸国际城西区 2室1厅 520万,京贸国际城西区 , 2室1厅 , 80.39 ,26,90, 1个月以前发布,520.0,64685,通州,116.690996,39.925159
12933,南北通透三居室 全明格局 两室朝南 ,华业东方玫瑰 , 3室1厅 , 98.7 ,35,57, 1个月以前发布,590.0,59778,通州,116.690886,39.887582
12934,南小园低楼层落地窗采光好交通便利南向开间,南小园 , 1室0厅 , 41.95 ,91,59, 1个月以前发布,238.0,56735,通州,116.68188,39.905547
12935,急售房源！ 久居雅园开间改一居  小户型 随时看房,久居雅园 , 1室1厅 , 50.68 ,140,72, 1个月以前发布,234.0,46173,通州,116.676119,39.875612
12936,南北通透 三居室 有房本 没贷款 运河公园,百合湾 , 3室2厅 , 85.82 ,36,77, 1个月以前发布,720.0,83897,通州,116.697632,39.920038
12937,合生世界村 70年住宅 南向 大两居,合生世界村 , 2室1厅 , 97.71 ,17,2, 2个月以前发布,380.0,38891,通州,116.551782,39.742837
12938,房子格局好，位置好，视野好，业主婚房装修不错,长城国际 , 1室1厅 , 54 ,21,9, 1个月以前发布,306.0,56667,通州,116.638919,39.900576
12939,瑞都国际电梯房正规一室一厅 看房方便 ,瑞都国际北区 , 1室1厅 , 61.8 ,34,22, 2个月以前发布,335.0,54208,通州,116.662375,39.89499
12940,满两年 精装修 南北通透三居室 ,新潮嘉园三期 , 3室1厅 , 115 ,27,19, 3个月以前发布,650.0,56522,通州,116.706256,39.940934
12941,西潞苑小区 板楼 南北通透 两居室 ,西潞苑小区 , 2室2厅 , 99.81 ,9,12, 2个月以前发布,420.0,42080,通州,116.667038,39.942451
12942,朝南向  低楼层 装修不错  满二年,西潞苑小区 , 1室1厅 , 56.22 ,35,11, 1个月以前发布,295.0,52473,通州,116.667038,39.942451
12943,南北双通透H户型 全明格局  精装修,DBC加州小镇C区 , 2室2厅 , 90.1 ,25,0, 3个月以前发布,530.0,58824,通州,116.69007,39.870642
12944,南北通透两居室，视野开阔，出行便利，生活圈丰富,DBC加州小镇C区 , 2室1厅 , 98.75 ,15,0, 2个月以前发布,528.0,53469,通州,116.69007,39.870642
12945,精装修，南北通透，视野开阔，交通便利,11站 , 2室1厅 , 80.23 ,37,15, 2个月以前发布,390.0,48611,通州,116.676119,39.887571
12946,北向的开间， 带有阳台，满两年,久居雅园 , 1室1厅 , 61.09 ,39,11, 1个月以前发布,286.0,46817,通州,116.676119,39.875612
12947,武夷花园紫荆园 板楼 南北通透  两居室 ,紫荆园 , 2室1厅 , 88.56 ,30,20, 4个月以前发布,565.0,63799,通州,116.708466,39.925012
12948,龙鼎园 3室2厅 550万,龙鼎园 , 3室2厅 , 139.16 ,24,8, 4个月以前发布,550.0,39523,通州,116.655566,39.883931
12949,果园城铁 两广路沿线 实验一小旁精品南向电梯一居,巴克摩界 , 1室1厅 , 74.54 ,25,12, 4个月以前发布,365.0,48967,通州,116.648559,39.894325
12950,世纪星城三期 2室2厅 566万,世纪星城三期 , 2室2厅 , 98.86 ,1,11, 1个月以前发布,566.0,57253,通州,116.640671,39.901842
12951,南北通透正规一居室满两年，原值高，可改两居,小潞邑 , 1室1厅 , 55.6 ,25,14, 2个月以前发布,275.0,49461,通州,116.699554,39.94027
12952,华远铭悦 2013年新社区 精装全南向两居室  人车分流,华远铭悦 , 2室1厅 , 84 ,60,34, 3个月以前发布,500.0,59524,通州,116.703076,39.878396
12953,珠江逸景东向一居室 开发商装修 诚心出售,珠江逸景 , 1室1厅 , 52.41 ,355,32, 2个月以前发布,208.0,39688,通州,116.549499,39.746067
12954,远洋东方公馆 3室2厅 1120万,远洋东方公馆 , 3室2厅 , 173 ,13,4, 2个月以前发布,1120.0,64740,通州,116.683292,39.895533
12955,瑞都公园世家北区 精装南北通透三居室 电梯房,瑞都公园世家北区 , 3室2厅 , 124.79 ,20,5, 3个月以前发布,800.0,64108,通州,116.685686,39.873688
12956,乔庄北街 南北通透 中间楼层 满五年 ,乔庄北街6号院 , 2室1厅 , 70.8 ,14,5, 1个月以前发布,360.0,50848,通州,116.687737,39.903084
12957,水仙园 1室0厅 260万,水仙园 , 1室0厅 , 41.84 ,26,6, 19天以前发布,260.0,62142,通州,116.701064,39.920295
12958, 正规两居  一层带花园，板楼公摊比较小,站前巴黎 , 2室1厅 , 105.97 ,5,1, 3个月以前发布,600.0,56620,通州,116.674053,39.882658
12959,三居室中间楼层 南北通透 主卧次卧带阳台 ,妇幼家属楼 , 3室2厅 , 109.62 ,10,3, 4个月以前发布,605.0,55191,通州,116.69027,39.892193
12960,荔景园 4室2厅 910万,荔景园 , 4室2厅 , 177.19 ,11,5, 1个月以前发布,910.0,51358,通州,116.711337,39.9184
12961,运河明珠 2室1厅 488万,运河明珠 , 2室1厅 , 80 ,85,32, 4个月以前发布,488.0,61000,通州,116.696144,39.906537
12962,金隅自由筑 1室0厅 175万,金隅自由筑 , 1室0厅 , 59 ,97,81, 3个月以前发布,175.0,29662,通州,116.703689,39.881771
12963,时尚街区东区 2室1厅 465万,时尚街区东区 , 2室1厅 , 89.56 ,33,74, 2个月以前发布,465.0,51921,通州,116.674125,39.888623
12964,四海公寓 南北通透 全明三居 双卧朝南,四海公寓 , 3室1厅 , 104.85 ,13,57, 1个月以前发布,400.0,38150,通州,116.703713,39.95821
12965,四海公寓 南北通透三居室 卫生间带窗户 双卧朝南,四海公寓 , 3室2厅 , 104.85 ,37,113, 2个月以前发布,345.0,32905,通州,116.703713,39.95821
12966,水仙园 南北通透一居 明厨明卫 看房随时 ,水仙园 , 1室1厅 , 59.76 ,36,63, 1个月以前发布,320.0,53548,通州,116.701064,39.920295
12967,房子南北通透，厨房朝北带窗户，楼层低。 ,西营前街 , 2室1厅 , 60.09 ,24,99, 2个月以前发布,300.0,49926,通州,116.672861,39.905035
12968,京贸国际城西区  南向两居 575万,京贸国际城西区 , 2室1厅 , 90.97 ,81,146, 4个月以前发布,575.0,63208,通州,116.690996,39.925159
12969,正规一居室 全南户型 已购公房 可扩小院 成熟社区,玉桥南里 , 1室1厅 , 49.71 ,26,81, 2个月以前发布,275.0,55321,通州,116.690108,39.895196
12970,星悦国际朝南两居室 精装修 不限购,星悦国际 , 2室1厅 , 89.98 ,39,5, 1个月以前发布,270.0,30007,通州,116.584874,39.768586
12971,金隅自由筑 2室1厅 230万,金隅自由筑 , 2室1厅 , 61 ,5,1, 1个月以前发布,230.0,37705,通州,116.703689,39.881771
12972,京贸中心 1室0厅 380万,京贸中心 , 1室0厅 , 71.98 ,1,2, 30天以前发布,380.0,52793,通州,116.692907,39.918773
12973,运河湾 2室1厅 430万,运河湾 , 2室1厅 , 64.58 ,27,32, 28天以前发布,430.0,66585,通州,116.703234,39.911017
12974,DBC加州小镇C区 1室1厅 419万,DBC加州小镇C区 , 1室1厅 , 64.43 ,4,1, 2天以前发布,419.0,65032,通州,116.69007,39.870642
12975,正规 两居室 自住 看房提 前约 ,艺苑东街 , 2室1厅 , 85.54 ,3,7, 1个月以前发布,398.0,46528,通州,116.680263,39.899223
12976,天赐良园二期 3室1厅 580万,天赐良园二期 , 3室1厅 , 125.35 ,30,7, 1个月以前发布,580.0,46271,通州,116.650294,39.934305
12977,融科香雪兰溪 精装修 中高楼层 满两年,融科香雪兰溪 , 3室1厅 , 89 ,50,13, 2个月以前发布,360.0,40450,通州,116.550659,39.751402
12978,龙湖刚装修的两居，不临街，业主诚心出售，随时签约,龙湖蔚澜香醍 , 2室1厅 , 89 ,25,10, 1个月以前发布,610.0,68540,通州,116.655423,39.890866
12979,合生世界村住宅南北朝向三居室 看房方便,合生世界村 , 3室1厅 , 124 ,106,9, 2个月以前发布,370.0,29839,通州,116.551782,39.742837
12980,长桥园  南北通透优质精装三居室 ,长桥园公寓 , 3室2厅 , 111.88 ,31,6, 1个月以前发布,510.0,45585,通州,116.63264,39.913741
12981,梨园 海棠湾 精装修一居室 小户型  ,海棠湾一期 , 1室1厅 , 61.4 ,19,8, 2个月以前发布,375.0,61075,通州,116.671332,39.875677
12982,京贸国际城南向高层满两年正规两居室,京贸国际城西区 , 2室1厅 , 91.56 ,39,6, 2个月以前发布,590.0,64439,通州,116.690996,39.925159
12983,翠屏北里西区 精装修三居室 南北通透 果园地铁南300米,翠屏北里西区 , 3室1厅 , 122.54 ,26,7, 2个月以前发布,628.0,51249,通州,116.651506,39.895875
12984,满两年 开间户型 带电梯 看房子提前预约,巴克摩界 , 1室0厅 , 62.12 ,18,7, 3个月以前发布,305.0,49099,通州,116.648559,39.894325
12985,6号线地铁 财富东方 婚房开间 明厨明卫,财富东方 , 1室0厅 , 44.4 ,84,9, 2个月以前发布,248.0,55856,通州,116.658082,39.92439
12986,九棵树城铁南 正规一居 户型好 满二年 精装修,蓝调沙龙东区 , 1室1厅 , 62.44 ,13,7, 1个月以前发布,348.0,55734,通州,116.658104,39.8932
12987,南北通透  精装修小三居   带产权车位 ,润枫领尚 , 3室1厅 , 89 ,96,8, 2个月以前发布,445.0,50000,通州,116.561289,39.830621
12988,远洋东方公馆 精装大三居 满两年,远洋东方公馆 , 3室2厅 , 180.12 ,25,16, 2个月以前发布,1200.0,66623,通州,116.683292,39.895533
12989,带电梯南北双通两居，地铁八通线，精装修2年,蓝调沙龙东区 , 2室2厅 , 88.32 ,37,7, 1个月以前发布,490.0,55481,通州,116.658104,39.8932
12990,低楼层3居室 双卧室朝南，客厅朝南诚心出售,翠福园 , 3室1厅 , 127.56 ,12,6, 2个月以前发布,535.0,41942,通州,116.658604,39.953468
12991,珠江逸景 南北两居室住宅 70年产权,珠江逸景 , 2室1厅 , 96.54 ,49,7, 2个月以前发布,320.0,33147,通州,116.549499,39.746067
12992,珠江拉维小镇 2室1厅 450万,珠江拉维小镇 , 2室1厅 , 96.14 ,56,48, 4个月以前发布,450.0,46807,通州,116.695093,39.938402
12993,BOBO自由城 南北全明户型有电梯 中间楼层,BOBO自由城 , 2室2厅 , 95.56 ,30,9, 1个月以前发布,608.0,63625,通州,116.700632,39.914747
12994,通州K2清水湾东南北通透三居室 精装无抵押,K2清水湾 , 3室2厅 , 89 ,46,12, 3个月以前发布,580.0,65169,通州,116.689177,39.931339
12995,西潞苑小区 1室1厅 295万,西潞苑小区 , 1室1厅 , 59.43 ,6,0, 24天以前发布,295.0,49639,通州,116.667038,39.942451
12996,乔庄北街6号院 2室1厅 360万,乔庄北街6号院 , 2室1厅 , 69.87 ,4,0, 24天以前发布,360.0,51525,通州,116.687737,39.903084
12997,新潮嘉园二期 4室2厅 680万,新潮嘉园二期 , 4室2厅 , 152.4 ,2,0, 1个月以前发布,680.0,44620,通州,116.703237,39.939938
12998,通州 运乔嘉园 上叠别墅 南北朝向 四居室,运乔嘉园 , 叠拼别墅 , 4室2厅 ,21,0, 3个月以前发布,850.0,53500,通州,116.698085,39.900316
12999,长城国际 1室0厅 275万,长城国际 , 1室0厅 , 49.84 ,10,0, 25天以前发布,275.0,55177,通州,116.638919,39.900576
13000,玉带河东街435号院 2室1厅 300万,玉带河东街435号院 , 2室1厅 , 60.46 ,12,0, 19天以前发布,300.0,49620,通州,116.674603,39.906654
13001,西上园三区 2室2厅 600万,西上园三区 , 2室2厅 , 104 ,16,0, 1个月以前发布,600.0,57693,通州,116.684161,39.908405
13002,润枫领尚 3室0厅 455万,润枫领尚 , 3室0厅 , 87.11 ,13,0, 19天以前发布,455.0,52233,通州,116.561289,39.830621
13003,珠江逸景 2室1厅 310万,珠江逸景 , 2室1厅 , 92.41 ,13,0, 25天以前发布,310.0,33547,通州,116.549499,39.746067
13004,华龙小区 1室1厅 285万,华龙小区 , 1室1厅 , 52.84 ,6,0, 22天以前发布,285.0,53937,通州,116.695201,39.934643
13005,融科香雪兰溪 精装小三居 南北通透 业主自住,融科香雪兰溪 , 3室1厅 , 89.76 ,9,0, 24天以前发布,390.0,43450,通州,116.550659,39.751402
13006,错层三居 电梯楼中间层 餐客分离 格局分明,旗舰凯旋一期 , 3室2厅 , 141.64 ,8,0, 1个月以前发布,630.0,44479,通州,116.65244,39.883322
13007,南北通透 正规的三居室  采光好  楼前无遮挡,四海公寓 , 3室1厅 , 104.85 ,50,6, 1个月以前发布,330.0,31474,通州,116.703713,39.95821
13008,四海公寓 3室2厅 450万,四海公寓 , 3室2厅 , 105.45 ,14,3, 1个月以前发布,450.0,42675,通州,116.703713,39.95821
13009,带露台，刚需婚房必看，南北通透，，可以改小三居,旗舰凯旋二三期 , 2室1厅 , 78.92 ,23,3, 1个月以前发布,430.0,54486,通州,116.650069,39.880595
13010,新潮嘉园经典三居 中间楼层 房本 精装修,新潮嘉园三期 , 3室1厅 , 116.41 ,24,6, 2个月以前发布,600.0,51542,通州,116.706256,39.940934
13011,梨园新通国际花园正规一居室不临街,新通国际花园 , 1室1厅 , 60.04 ,34,2, 3个月以前发布,349.0,58128,通州,116.679317,39.889108
13012,西上园老三区  三居室  中间层  低总价,西上园老三区 , 3室1厅 , 77.92 ,22,2, 2个月以前发布,400.0,51335,通州,116.686389,39.907824
13013,苏荷时代 2室1厅 410万,苏荷时代 , 2室1厅 , 77.91 ,31,8, 3个月以前发布,410.0,52625,通州,116.6512,39.898186
13014,天赐良园四居，不临街采光好，南北通透,天赐良园二期 , 4室2厅 , 170 ,162,49, 9个月以前发布,660.0,38824,通州,116.650294,39.934305
13015,群芳园 业主诚心出售正规两居室 看房方便,群芳园 , 2室1厅 , 93.26 ,12,8, 2个月以前发布,425.0,45572,通州,116.672149,39.877771
13016,南北通透 正规两居 采光好 已改三居,华龙小区 , 2室2厅 , 111.61 ,14,4, 2个月以前发布,450.0,40319,通州,116.695201,39.934643
13017,交通便利 正规一室一厅.实验小学.距离地铁661米,蓝调沙龙西区 , 1室1厅 , 55.63 ,13,3, 2个月以前发布,325.0,58422,通州,116.655952,39.893658
13018,房子南北通透，户型方正，通透性好。,皓月苑 , 2室1厅 , 90.52 ,9,2, 1个月以前发布,440.0,48609,通州,116.675771,39.903665
13019,正对万达广场，交通便利，生活便利！,北苑67号院 , 2室1厅 , 60.92 ,84,15, 6个月以前发布,300.0,49245,通州,116.646545,39.913893
13020,长城国际 东向开间 业主诚心出售,长城国际 , 1室0厅 , 48 ,39,23, 4个月以前发布,258.0,53750,通州,116.638919,39.900576
13021,邻国际影城 邻地铁八通线 全南向两居室,DBC加州小镇C区 , 2室1厅 , 91 ,16,2, 1个月以前发布,510.0,56044,通州,116.69007,39.870642
13022,财富东方 2室1厅 470万,财富东方 , 2室1厅 , 98.91 ,7,4, 1个月以前发布,470.0,47518,通州,116.658082,39.92439
13023,南北通透小两居，全明格局，采光好,中仓小区 , 2室1厅 , 68.6 ,18,3, 1个月以前发布,340.0,49563,通州,116.670345,39.912244
13024,乔庄艺苑西街 满五年 南北通透 中间楼层 ,艺苑西街9号院 , 2室1厅 , 60.81 ,12,1, 2个月以前发布,330.0,54268,通州,116.676831,39.900109
13025,财富东方 2室1厅 470万,财富东方 , 2室1厅 , 98.91 ,7,4, 1个月以前发布,470.0,47518,通州,116.658082,39.92439
13026,交通便利 正规一室一厅.实验小学.距离地铁661米,蓝调沙龙西区 , 1室1厅 , 55.63 ,13,3, 2个月以前发布,325.0,58422,通州,116.655952,39.893658
13027,距离果园地铁735米 电梯房两居室 朝南向 视野开阔,蓝调沙龙西区 , 2室1厅 , 100.43 ,15,3, 2个月以前发布,480.0,47795,通州,116.655952,39.893658
13028,精装修   南向三居  人车分流  房本满两年,融科钧廷 , 3室1厅 , 99.47 ,81,9, 3个月以前发布,370.0,37198,通州,116.543995,39.747293
13029,融科香雪兰溪 3室1厅 360万,融科香雪兰溪 , 3室1厅 , 89 ,19,1, 1个月以前发布,360.0,40450,通州,116.550659,39.751402
13030,玉桥小学，玉桥中学，小区环境，楼层合适，诚心出售,乔庄北街305号院 , 2室1厅 , 73.67 ,10,1, 1个月以前发布,368.0,49953,通州,116.687988,39.902032
13031,南北通透正规两居  户型方正 梨园城铁直线距离200米,时尚街区东区 , 2室1厅 , 85.26 ,4,4, 1个月以前发布,455.0,53367,通州,116.674125,39.888623
13032,九棵树城铁 带花园 南北通透两居 蓝调沙龙,蓝调沙龙东区 , 2室2厅 , 100.74 ,16,3, 1个月以前发布,570.0,56582,通州,116.658104,39.8932
13033,乔庄艺苑西里 南北通透 正规两居室 中间楼层 诚售,艺苑西里 , 2室1厅 , 84.66 ,15,10, 4个月以前发布,413.0,48784,通州,116.675538,39.90116
13034,中泽家园 2室2厅 415万,中泽家园 , 2室2厅 , 90.42 ,16,3, 2个月以前发布,415.0,45897,通州,116.64484,39.8809
13035,精装南北通透正规一居室，旁边就是玉桥小学,玉桥北里 , 1室1厅 , 49.33 ,23,1, 1个月以前发布,270.0,54734,通州,116.688527,39.899168
13036,南向两居室 满两年 精装修 无抵押,珠江拉维小镇 , 2室1厅 , 103.07 ,38,3, 1个月以前发布,470.0,45601,通州,116.695093,39.938402
13037,东西通透大两居，中楼层，视野开阔,华业东方玫瑰 , 2室1厅 , 97.7 ,17,1, 1个月以前发布,535.0,54760,通州,116.690886,39.887582
13038,满两年，高楼层，原值高，精装两居室,华业东方玫瑰 , 1室1厅 , 55.79 ,35,6, 2个月以前发布,355.0,63632,通州,116.690886,39.887582
13039,无增值税 中间楼层 采光好 精装修,华业东方玫瑰 , 1室1厅 , 63.12 ,23,5, 1个月以前发布,380.0,60203,通州,116.690886,39.887582
13040,海棠湾 明厨明卫 不临街 可看湖 满两年,海棠湾三期 , 3室1厅 , 84.55 ,17,3, 2个月以前发布,495.0,58546,通州,116.672306,39.876414
13041,通州新城核心区+南北通透精装修+三甲医院+交通便利,潞潮佳苑 , 2室2厅 , 83.58 ,4,4, 1个月以前发布,450.0,53841,通州,116.684011,39.936332
13042,电梯次新房，满两年，全南户型，卫生间带窗户。,珠江拉维小镇 , 3室1厅 , 99.86 ,51,6, 1个月以前发布,465.0,46566,通州,116.695093,39.938402
13043,乔庄北街 南向 中间楼层 距离6号线北运河西站961米,乔庄北街6号院 , 1室0厅 , 39.82 ,74,3, 1个月以前发布,230.0,57760,通州,116.687737,39.903084
13044,百合湾东北向小两居室 拎包入住 高层观景,百合湾 , 2室1厅 , 30 ,25,69, 1个月以前发布,270.0,90000,通州,116.697632,39.920038
13045,通州 果园 苏荷时代 东南向精装电梯1居室 换房诚售  ,苏荷时代 , 1室1厅 , 72.85 ,15,16, 1个月以前发布,380.0,52162,通州,116.6512,39.898186
13046,鑫苑小区 2室2厅 520万,鑫苑小区 , 2室2厅 , 99.41 ,19,11, 5个月以前发布,520.0,52309,通州,116.646267,39.904464
13047,南北通透，低楼层，交通便利，业主诚心出售,葛布店北里 , 2室1厅 , 59.89 ,5,7, 3个月以前发布,335.0,55936,通州,116.66424,39.899598
13048,星悦国际三居室 精装修 不限购 业主诚售,星悦国际 , 3室1厅 , 140 ,7,0, 3个月以前发布,490.0,35000,通州,116.584874,39.768586
13049,星悦国际不限购 东南朝向 大三居 高楼层,星悦国际 , 3室1厅 , 139 ,12,0, 3个月以前发布,490.0,35252,通州,116.584874,39.768586
13050,星悦国际  不限购  空调加地暖,星悦国际 , 3室1厅 , 140 ,6,0, 2个月以前发布,380.0,27143,通州,116.584874,39.768586
13051,星悦国际精装修  不限购 地暖加空调,星悦国际 , 3室2厅 , 140.62 ,1,0, 2个月以前发布,580.0,41246,通州,116.584874,39.768586
13052,海棠湾二期 2室1厅 520万,海棠湾二期 , 2室1厅 , 92.02 ,26,42, 1个月以前发布,520.0,56510,通州,116.672616,39.87573
13053,云景里白瓷砖 4室2厅 700万,云景里白瓷砖 , 4室2厅 , 162.5 ,1,1, 27天以前发布,700.0,43077,通州,116.671161,39.885038
13054,葛布店南里 1室0厅 252万,葛布店南里 , 1室0厅 , 43 ,6,0, 14天以前发布,252.0,58605,通州,116.668441,39.897465
13055,新华大街 万达商圈 北关商务区,吉祥园 , 2室1厅 , 67.13 ,32,34, 3个月以前发布,450.0,67035,通州,116.672015,39.917767
13056,下叠边户别墅，带90平大花园，160万精装，家具全送！,旭辉御锦 , 叠拼别墅 , 4室3厅 ,13,1, 29天以前发布,1300.0,47480,通州,116.673613,40.010891
13057,小潞邑 南北通透 大复式 有南北露台,小潞邑 , 5室2厅 , 213.13 ,7,15, 2个月以前发布,650.0,30498,通州,116.699554,39.94027
13058,南北通透2居室 满五年住房 诚心出售,群芳园 , 2室1厅 , 86.25 ,63,48, 6个月以前发布,380.0,44058,通州,116.672149,39.877771
13059,京贸中心 1室0厅 350万,京贸中心 , 1室0厅 , 63.72 ,1,5, 1个月以前发布,350.0,54928,通州,116.692907,39.918773
13060,西潞苑小区 1室1厅 280万,西潞苑小区 , 1室1厅 , 61.52 ,16,9, 1天以前发布,280.0,45514,通州,116.667038,39.942451
13061,乔庄东区 1室1厅 250万,乔庄东区 , 1室1厅 , 50.77 ,73,15, 1个月以前发布,250.0,49242,通州,116.694779,39.902876
13062,艺苑东街，鑫隆市场西侧，原供电局家属楼,艺苑东街 , 2室1厅 , 82.85 ,10,4, 2个月以前发布,400.0,48281,通州,116.680263,39.899223
13063,至善家园 3室2厅 600万,至善家园 , 3室2厅 , 142.16 ,4,1, 1个月以前发布,600.0,42206,通州,116.680468,39.936884
13064,南北通透两居 中间楼层 采光好,自然佳境 , 1室2厅 , 83.47 ,13,3, 3个月以前发布,390.0,46724,通州,116.698943,39.942109
13065,梨园东里 2室2厅 450万,梨园东里 , 2室2厅 , 89.4 ,11,1, 1个月以前发布,450.0,50336,通州,116.689803,39.889508
13066,满两年原值182万 精装正规两居 梨园城铁贵友大厦,时尚街区西区 , 2室1厅 , 78.23 ,32,2, 3个月以前发布,400.0,51132,通州,116.671991,39.887056
13067,南向正规一居；距离6号线北运河西站773米；,运河湾 , 1室1厅 , 57.35 ,100,3, 3个月以前发布,380.0,66260,通州,116.703234,39.911017
13068,通州新城区 东潞苑 婚房精装修 拎包入住,东潞苑 , 2室1厅 , 120.55 ,14,2, 3个月以前发布,480.0,39818,通州,116.685452,39.94297
13069,鼎晟国际一居 中山街小学 诚心出售,鼎晟国际 , 2室0厅 , 70.94 ,49,1, 4个月以前发布,330.0,46519,通州,116.655519,39.9128
13070,合生世界村 北向三居Loft 不限购,合生世界村 , 3室1厅 , 101.8 ,79,1, 4个月以前发布,320.0,31435,通州,116.551782,39.742837
13071,通州北关 两居改三居 满两年 明厨明卫,财富东方 , 3室1厅 , 95.87 ,13,1, 2个月以前发布,460.0,47982,通州,116.658082,39.92439
13072,满两年，南北通透大两居，主卧朝南带飘窗，诚心出售,DBC加州小镇C区 , 2室1厅 , 98.19 ,23,1, 3个月以前发布,535.0,54487,通州,116.69007,39.870642
13073,金隅花石匠 正规两居室 南北通透 视野好,金隅花石匠 , 2室2厅 , 88.83 ,62,4, 3个月以前发布,510.0,57414,通州,116.708256,39.880433
13074,星悦国际精装大两居，不限购，开发商送的统一精装修,星悦国际 , 2室1厅 , 108 ,5,3, 4个月以前发布,320.0,29630,通州,116.584874,39.768586
13075,东亚逸品阁 2室2厅 550万,东亚逸品阁 , 2室2厅 , 95.11 ,7,1, 1个月以前发布,550.0,57828,通州,116.696179,39.940039
13076,润枫领尚 2室1厅 430万,润枫领尚 , 2室1厅 , 87.3 ,36,1, 2个月以前发布,430.0,49256,通州,116.561289,39.830621
13077,南北通透 户型方正 距新华医院500米,枫露花园 , 2室1厅 , 88.94 ,8,1, 2个月以前发布,350.0,39353,通州,116.682353,39.941289
13078,月亮城堡   大一居   高楼层  南北向,月亮城堡 , 1室1厅 , 102 ,15,2, 3个月以前发布,600.0,58824,通州,116.685667,39.925912
13079,珠江西北双卫两居室 满两年 精装修 拎包入住,珠江逸景 , 2室1厅 , 95.56 ,18,3, 4个月以前发布,300.0,31394,通州,116.549499,39.746067
13080,房子南北通透。尚东庭联排别墅，南车位，北花园,尚东庭 , 联排别墅 , 4室2厅 ,11,53, 4个月以前发布,1200.0,55046,通州,116.685781,39.944456
13081,珠江已经南北向两居室 一层适合老人居住,珠江逸景 , 2室1厅 , 94.74 ,83,2, 2个月以前发布,275.0,29027,通州,116.549499,39.746067
13082,首开国风美仑 朝南向 精装修 大两居 满两年 看房方便,首开国风美仑 , 2室1厅 , 79.62 ,50,9, 1个月以前发布,310.0,38935,通州,116.593413,39.773674
13083,靓景明居 2室1厅 560万,靓景明居 , 2室1厅 , 94.75 ,16,2, 2个月以前发布,560.0,59103,通州,116.643924,39.889841
13084,靓景明居 2室1厅 390万,靓景明居 , 2室1厅 , 68.99 ,5,8, 31天以前发布,390.0,56530,通州,116.643924,39.889841
