id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
11082,嘉业大厦 70年产权商品房 西北向四居 业主诚售,嘉业大厦 , 4室1厅 , 206.8平米 ,11人关注 , 共5次带看 , 4个月以前发布,710,单价34333元/平米,丰台,"116.434145,39.863841"
11083,大成郡 低密度花园洋房，精装一居室,大成郡驭风园 , 1室1厅 , 73.53平米 ,12人关注 , 共2次带看 , 1个月以前发布,515,单价70040元/平米,丰台,"116.280335,39.889387"
11084,第七街区 1室1厅 450万,第七街区 , 1室1厅 , 72.36平米 ,14人关注 , 共3次带看 , 1个月以前发布,450,单价62190元/平米,丰台,"116.283232,39.888903"
11085,上海建筑南向底商，格局方正  。,上海建筑 , 1室0厅 , 119平米 ,9人关注 , 共0次带看 , 2个月以前发布,660,单价55463元/平米,丰台,"116.39391,39.842515"
11086,西四环精装写字楼 可注册公司 50年产权,大成时代公馆 , 2室0厅 , 191.89平米 ,2人关注 , 共0次带看 , 2个月以前发布,630,单价32832元/平米,丰台,"116.277933,39.894604"
11087,东亚三环 1室0厅 162万,东亚三环 , 1室0厅 , 35平米 ,9人关注 , 共0次带看 , 1个月以前发布,162,单价46286元/平米,丰台,"116.37785,39.842419"
11088,房子是上下复式单层面积136.23平米，可居住，可办公,天龙华鹤 , 6室2厅 , 136.23平米 ,0人关注 , 共0次带看 , 2个月以前发布,980,单价71938元/平米,丰台,"116.297684,39.837649"
11089,政馨园二区  不限购  地下产权车位,政馨园二区 , 车位 , 40.36平米 ,9人关注 , 共0次带看 , 1个月以前发布,20,单价4956元/平米,丰台,"116.438986,39.853197"
11090,尚三环 1室0厅 158万,尚三环 , 1室0厅 , 43.74平米 ,42人关注 , 共2次带看 , 24天以前发布,158,单价36123元/平米,丰台,"116.439769,39.855041"
11091,南北通透  大两居  业主诚心出售,南三环中路 , 2室1厅 , 79.8平米 ,32人关注 , 共1次带看 , 1个月以前发布,435,单价54512元/平米,丰台,"116.422817,39.862947"
11092,南北通透  大两居  业主诚心出售,南三环中路 , 2室1厅 , 79.8平米 ,32人关注 , 共1次带看 , 1个月以前发布,435,单价54512元/平米,丰台,"116.422817,39.862947"
11093,花园洋房带电梯，带下层有小院，南北通透,北京山语城 , 3室2厅 , 145.85平米 ,17人关注 , 共5次带看 , 1个月以前发布,660,单价45252元/平米,丰台,"116.146402,39.816715"
11094,临地铁的大三居  诚心出售  精装修,园博府 , 3室2厅 , 144.6平米 ,10人关注 , 共4次带看 , 1个月以前发布,870,单价60166元/平米,丰台,"116.190131,39.865082"
11095,宋家庄地铁 精装婚房 西南一居,日新家园 , 1室1厅 , 69.44平米 ,104人关注 , 共1次带看 , 2个月以前发布,305,单价43923元/平米,丰台,"116.423347,39.853206"
11096,益丰苑 2室2厅 650万,益丰苑 , 2室2厅 , 82.12平米 ,54人关注 , 共6次带看 , 1个月以前发布,650,单价79153元/平米,丰台,"116.315226,39.883058"
11097,五里店南里  南北通透三居室  业主诚心卖,五里店南里 , 3室1厅 , 74.15平米 ,65人关注 , 共1次带看 , 2个月以前发布,320,单价43156元/平米,丰台,"116.265784,39.860613"
11098,万年花城二期 车位 35万,万年花城二期 , 车位 , 35.06平米 ,13人关注 , 共1次带看 , 1个月以前发布,35,单价9983元/平米,丰台,"116.324979,39.852231"
11099,青塔蔚园南北三居，业主诚心出售！,蔚园 , 3室1厅 , 77.45平米 ,16人关注 , 共2次带看 , 2个月以前发布,440,单价56811元/平米,丰台,"116.26973,39.901123"
11100,满五年非公房，南北通透三居室，高楼层采光好,玉林东里三区 , 3室1厅 , 74平米 ,9人关注 , 共1次带看 , 2个月以前发布,510,单价68919元/平米,丰台,"116.367835,39.870721"
11101,草桥欣园三区 南北向两居室 板楼一梯两户,草桥欣园三区 , 2室1厅 , 71.6平米 ,168人关注 , 共5次带看 , 2个月以前发布,410,单价57263元/平米,丰台,"116.364039,39.848137"
11102,房是塔楼的，格局好，居住办公均适合！,迦南大厦 , 2室2厅 , 131.73平米 ,3人关注 , 共3次带看 , 2个月以前发布,660,单价50103元/平米,丰台,"116.372672,39.874481"
11103,单价低好房子 房是塔楼的，格局不错，居住办公均适合,迦南大厦 , 2室2厅 , 131.27平米 ,2人关注 , 共3次带看 , 2个月以前发布,660,单价50279元/平米,丰台,"116.372672,39.874481"
11104,沸城 南北通透三居 楼龄新 视野开阔,沸城 , 3室1厅 , 131.56平米 ,39人关注 , 共2次带看 , 4个月以前发布,500,单价38006元/平米,丰台,"116.250173,39.839454"
11105,方庄桥边大两居总价低户型好随时签约,方安苑 , 2室1厅 , 86.86平米 ,21人关注 , 共1次带看 , 4个月以前发布,465,单价53535元/平米,丰台,"116.444313,39.862824"
11106,东丽温泉南北通透三居室 业主诚心出售 ,东丽温泉 , 3室1厅 , 132.55平米 ,35人关注 , 共4次带看 , 6个月以前发布,720,单价54320元/平米,丰台,"116.390154,39.860376"
11107,东丽温泉西南三居室 业主诚心出售,东丽温泉 , 3室1厅 , 140.93平米 ,18人关注 , 共2次带看 , 5个月以前发布,700,单价49671元/平米,丰台,"116.390154,39.860376"
11108,70年产权写字楼 四环内可办公,国润商务大厦 , 3室1厅 , 157.45平米 ,3人关注 , 共1次带看 , 1个月以前发布,550,单价34932元/平米,丰台,"116.289133,39.876282"
11109,七里庄 国润商务大厦 大三居 可办公 ,国润商务大厦 , 3室1厅 , 163.1平米 ,2人关注 , 共1次带看 , 1个月以前发布,570,单价34948元/平米,丰台,"116.289133,39.876282"
11110,南三环   珠江骏景房本过5年正规一室一厅业主诚心出售,珠江骏景北区 , 1室1厅 , 69.46平米 ,77人关注 , 共2次带看 , 4个月以前发布,355,单价51109元/平米,丰台,"116.401854,39.861344"
11111,青秀城 南北通透两居室 看房提前预约,青秀城 , 2室1厅 , 89平米 ,24人关注 , 共5次带看 , 2个月以前发布,660,单价74158元/平米,丰台,"116.349493,39.841663"
11112,玺萌丽苑 3室2厅 610万,玺萌丽苑 , 3室2厅 , 119.9平米 ,69人关注 , 共10次带看 , 3个月以前发布,610,单价50876元/平米,丰台,"116.369971,39.856204"
11113,玺萌丽苑 东南向大三居 朝向好 光线充足,玺萌丽苑 , 3室2厅 , 161.27平米 ,23人关注 , 共1次带看 , 2个月以前发布,952,单价59032元/平米,丰台,"116.369971,39.856204"
11114,红庭 2室1厅 198万,红庭 , 2室1厅 , 48.37平米 ,77人关注 , 共11次带看 , 1个月以前发布,198,单价40935元/平米,丰台,"116.284571,39.88951"
11115,阳光四季 南向复式三居室 地铁9号线科怡路站 丰台五小,阳光四季 , 3室2厅 , 146.95平米 ,16人关注 , 共4次带看 , 4个月以前发布,710,单价48316元/平米,丰台,"116.29921,39.84107"
11116,50年不限购 可注册 近地铁9号线,天龙华鹤 , 1室1厅 , 68平米 ,9人关注 , 共0次带看 , 1个月以前发布,215,单价31618元/平米,丰台,"116.297684,39.837649"
11117,韩庄子二里 1室1厅 280万,韩庄子二里 , 1室1厅 , 48.47平米 ,26人关注 , 共0次带看 , 1个月以前发布,280,单价57768元/平米,丰台,"116.295141,39.843191"
11118,上海建筑 2室2厅 770万,上海建筑 , 2室2厅 , 106.3平米 ,4人关注 , 共0次带看 , 31天以前发布,770,单价72437元/平米,丰台,"116.39391,39.842515"
11119,盛鑫嘉园 2室1厅 570万,盛鑫嘉园 , 2室1厅 , 85.68平米 ,26人关注 , 共0次带看 , 1个月以前发布,570,单价66527元/平米,丰台,"116.309591,39.864885"
11120,六里桥10号院 2室1厅 385万,六里桥10号院 , 2室1厅 , 68.8平米 ,76人关注 , 共0次带看 , 1个月以前发布,385,单价55960元/平米,丰台,"116.309979,39.888606"
11121,南曦大厦70年商品房 大三居 单价低,南曦大厦 , 2室1厅 , 142.23平米 ,2人关注 , 共0次带看 , 3个月以前发布,680,单价47810元/平米,丰台,"116.408647,39.862711"
11122,南曦大厦70年商品房 大三居 单价低,南曦大厦 , 2室1厅 , 142.23平米 ,2人关注 , 共0次带看 , 3个月以前发布,680,单价47810元/平米,丰台,"116.408647,39.862711"
11123,万泉寺南里 2室2厅 488万,万泉寺南里 , 2室2厅 , 74.06平米 ,13人关注 , 共0次带看 , 2个月以前发布,488,单价65893元/平米,丰台,"116.346852,39.865234"
11124,玺萌鹏苑  东向一居室  卧室带阳台 无遮挡,玺萌鹏苑 , 1室1厅 , 67.01平米 ,12人关注 , 共0次带看 , 3个月以前发布,420,单价62678元/平米,丰台,"116.369206,39.856287"
11125,六里桥10号院 2室1厅 385万,六里桥10号院 , 2室1厅 , 68.8平米 ,76人关注 , 共0次带看 , 1个月以前发布,385,单价55960元/平米,丰台,"116.309979,39.888606"
11126,莲馨嘉园三居  低楼层 诚心出售,莲馨嘉园 , 3室2厅 , 148.22平米 ,36人关注 , 共0次带看 , 8个月以前发布,800,单价53974元/平米,丰台,"116.312187,39.896423"
11127,韩庄子二里 1室1厅 280万,韩庄子二里 , 1室1厅 , 48.47平米 ,26人关注 , 共0次带看 , 1个月以前发布,280,单价57768元/平米,丰台,"116.295141,39.843191"
11128,开阳里六区 3室2厅 1000万,开阳里六区 , 3室2厅 , 120.48平米 ,5人关注 , 共0次带看 , 2个月以前发布,1000,单价83002元/平米,丰台,"116.376676,39.870913"
11129,西南三环边 优筑小区 纯板楼 商品房正规一居室,优筑 , 1室1厅 , 65.25平米 ,12人关注 , 共0次带看 , 4个月以前发布,400,单价61303元/平米,丰台,"116.32442,39.858227"
11130,怡海花园四期 四居室 小区内有幼儿园、小学、初中,怡海花园富润园 , 4室2厅 , 197平米 ,2人关注 , 共0次带看 , 1个月以前发布,1400,单价71066元/平米,丰台,"116.308663,39.839115"
11131,怡然家园6号院  商品房   电梯房,怡然家园6号院 , 3室2厅 , 117.07平米 ,17人关注 , 共0次带看 , 2个月以前发布,700,单价59794元/平米,丰台,"116.39122,39.848862"
11132,丰卉家园 正规南北大复式 随时签约 ,丰卉家园 , 6室3厅 , 144.65平米 ,4人关注 , 共0次带看 , 3个月以前发布,800,单价55306元/平米,丰台,"116.272531,39.859806"
11133,50年不限购 可注册 近地铁9号线,天龙华鹤 , 1室1厅 , 68平米 ,9人关注 , 共0次带看 , 1个月以前发布,215,单价31618元/平米,丰台,"116.297684,39.837649"
11134,东向一居室，电梯房，三环内，不临街，东木樨园,东木樨园 , 1室1厅 , 56.7平米 ,17人关注 , 共0次带看 , 3个月以前发布,310,单价54674元/平米,丰台,"116.411908,39.864006"
11135,方庄 蒲黄榆 刘家窑 大三居 适合改善家庭 空间大,恒松园 , 3室1厅 , 169.16平米 ,26人关注 , 共0次带看 , 2个月以前发布,845,单价49953元/平米,丰台,"116.425584,39.864644"
11136,保利百合 车位 55万,保利百合 , 车位 , 30.67平米 ,9人关注 , 共11次带看 , 1个月以前发布,55,单价17933元/平米,丰台,"116.312396,39.884145"
11137,交通便利，配套完善，出行方便 .,宝隆温泉公寓 , 2室1厅 , 103.86平米 ,5人关注 , 共0次带看 , 1个月以前发布,550,单价52956元/平米,丰台,"116.30095,39.838443"
11138,右外东庄 3室1厅 450万,右外东庄 , 3室1厅 , 67.6平米 ,6人关注 , 共0次带看 , 1个月以前发布,450,单价66569元/平米,丰台,"116.385656,39.875477"
11139,期颐百年 2室1厅 475万,期颐百年 , 2室1厅 , 83.37平米 ,5人关注 , 共0次带看 , 1个月以前发布,475,单价56975元/平米,丰台,"116.337689,39.813197"
11140,花园社区 高楼层 视野好 电梯房 车位充足 ,慧时欣园 , 3室1厅 , 109.82平米 ,0人关注 , 共0次带看 , 2个月以前发布,605,单价55091元/平米,丰台,"116.419296,39.853261"
11141,期颐百年 1室1厅 258万,期颐百年 , 1室1厅 , 59.17平米 ,90人关注 , 共6次带看 , 3个月以前发布,258,单价43604元/平米,丰台,"116.337689,39.813197"
11142,鑫源国际 2室1厅 520万,鑫源国际 , 2室1厅 , 106平米 ,6人关注 , 共1次带看 , 3个月以前发布,520,单价49057元/平米,丰台,"116.451095,39.863748"
11143,南华小区 精装修 交通方便 1层正规1居室,南华小区 , 1室1厅 , 55.89平米 ,15人关注 , 共9次带看 , 2个月以前发布,352,单价62981元/平米,丰台,"116.384761,39.844664"
11144,芳城园三区 3室1厅 800万,芳城园三区 , 3室1厅 , 139平米 ,21人关注 , 共8次带看 , 3个月以前发布,800,单价57554元/平米,丰台,"116.441502,39.872065"
11145,GOGO新世代两个窗户正西正南向不满二年,gogo新世代 , 1室1厅 , 45.62平米 ,80人关注 , 共13次带看 , 4个月以前发布,290,单价63569元/平米,丰台,"116.429293,39.872461"
11146,珠江骏景北区 3室1厅 688万,珠江骏景北区 , 3室1厅 , 125.92平米 ,121人关注 , 共4次带看 , 4个月以前发布,688,单价54638元/平米,丰台,"116.401854,39.861344"
11147,角门东里 2室1厅 435万,角门东里 , 2室1厅 , 81.4平米 ,16人关注 , 共1次带看 , 4个月以前发布,435,单价53440元/平米,丰台,"116.387828,39.852874"
11148,顺驰蓝调 3室0厅 845万,顺驰蓝调 , 3室0厅 , 105.73平米 ,9人关注 , 共4次带看 , 3个月以前发布,845,单价79921元/平米,丰台,"116.345863,39.877035"
11149,怡海花园富泽园 次顶层 采光好 诚心出售,怡海花园富泽园 , 2室1厅 , 88.58平米 ,21人关注 , 共4次带看 , 1个月以前发布,585,单价66042元/平米,丰台,"116.308505,39.839489"
11150,青塔秀园 3室1厅 385万,青塔秀园 , 3室1厅 , 75平米 ,117人关注 , 共5次带看 , 4个月以前发布,385,单价51334元/平米,丰台,"116.269851,39.897262"
11151,石榴园北里小区 3室1厅 390万,石榴园北里小区 , 3室1厅 , 77.25平米 ,46人关注 , 共3次带看 , 1个月以前发布,390,单价50486元/平米,丰台,"116.423311,39.853178"
11152,玉林东里二区 2室2厅 450万,玉林东里二区 , 2室2厅 , 76平米 ,91人关注 , 共1次带看 , 9个月以前发布,450,单价59211元/平米,丰台,"116.368566,39.872114"
11153,金丰园南北通透小两居，双阳台。采光明亮。,金丰园 , 2室2厅 , 74.17平米 ,94人关注 , 共2次带看 , 4个月以前发布,400,单价53931元/平米,丰台,"116.322343,39.856246"
11154,汤泉墅 2室1厅 520万,汤泉墅 , 2室1厅 , 91.74平米 ,10人关注 , 共1次带看 , 2个月以前发布,520,单价56682元/平米,丰台,"116.160585,39.797765"
11155,金丰园 2室1厅 450万,金丰园 , 2室1厅 , 67.78平米 ,5人关注 , 共0次带看 , 2个月以前发布,450,单价66392元/平米,丰台,"116.322343,39.856246"
11156,万事吉公寓 3室2厅 850万,万事吉公寓 , 3室2厅 , 142.35平米 ,6人关注 , 共0次带看 , 1个月以前发布,850,单价59712元/平米,丰台,"116.421753,39.865654"
11157,玉芳园 2室1厅 495万,玉芳园 , 2室1厅 , 77.52平米 ,6人关注 , 共0次带看 , 2个月以前发布,495,单价63855元/平米,丰台,"116.366645,39.852354"
11158,晓月新城 1室1厅 270万,晓月新城 , 1室1厅 , 55.6平米 ,18人关注 , 共0次带看 , 1个月以前发布,270,单价48562元/平米,丰台,"116.247075,39.840985"
11159,程庄南里 3室1厅 550万,程庄南里 , 3室1厅 , 143.93平米 ,9人关注 , 共0次带看 , 1个月以前发布,550,单价38214元/平米,丰台,"116.270328,39.858193"
11160,宝隆温泉公寓 2室1厅 330万,宝隆温泉公寓 , 2室1厅 , 67.9平米 ,13人关注 , 共0次带看 , 1个月以前发布,330,单价48601元/平米,丰台,"116.30095,39.838443"
11161,长安新城一区 2室2厅 650万,长安新城一区 , 2室2厅 , 115.51平米 ,7人关注 , 共0次带看 , 1个月以前发布,650,单价56273元/平米,丰台,"116.265669,39.894045"
11162,长安新城一区 1室1厅 360万,长安新城一区 , 1室1厅 , 72.49平米 ,31人关注 , 共0次带看 , 1个月以前发布,360,单价49663元/平米,丰台,"116.265669,39.894045"
11163,中海御鑫阁 1室0厅 295万,中海御鑫阁 , 1室0厅 , 40.92平米 ,5人关注 , 共0次带看 , 1个月以前发布,295,单价72092元/平米,丰台,"116.305143,39.825059"
11164,蒲黄榆五巷，南北向，精装两居室,蒲黄榆五巷 , 2室1厅 , 47.49平米 ,29人关注 , 共0次带看 , 1个月以前发布,318,单价66962元/平米,丰台,"116.423761,39.872299"
11165,刘家窑北里 丰台区 小区安静 舒适 有地铁,刘家窑北里 , 2室1厅 , 54.1平米 ,91人关注 , 共0次带看 , 4个月以前发布,340,单价62847元/平米,丰台,"116.421191,39.869164"
11166,宋家庄 不限购 距离地铁800,首开石榴派 , 1室1厅 , 46.38平米 ,45人关注 , 共4次带看 , 1个月以前发布,155,单价33420元/平米,丰台,"116.432558,39.847099"
11167,融达国际 1室0厅 185万,融达国际 , 1室0厅 , 42.58平米 ,6人关注 , 共6次带看 , 2个月以前发布,185,单价43448元/平米,丰台,"116.326059,39.858167"
11168,园博府 1室0厅 137万,园博府 , 1室0厅 , 49.5平米 ,59人关注 , 共2次带看 , 4个月以前发布,137,单价27677元/平米,丰台,"116.190131,39.865082"
11169,鹏润家园 低楼层 单价低 二环边上,鹏润家园 , 2室2厅 , 149.65平米 ,47人关注 , 共10次带看 , 7个月以前发布,760,单价50786元/平米,丰台,"116.35335,39.875618"
11170,威尔夏大道 1室0厅 200万,威尔夏大道 , 1室0厅 , 35.78平米 ,4人关注 , 共0次带看 , 11天以前发布,200,单价55898元/平米,丰台,"116.325575,39.88657"
11171,威尔夏大道 1室0厅 200万,威尔夏大道 , 1室0厅 , 35.78平米 ,6人关注 , 共0次带看 , 11天以前发布,200,单价55898元/平米,丰台,"116.325575,39.88657"
11172,不限购 地铁房 东南两居 民水民电 有燃气 ,东亚三环 , 2室1厅 , 83平米 ,7人关注 , 共0次带看 , 30天以前发布,425,单价51205元/平米,丰台,"116.37785,39.842419"
11173,中海御鑫阁70年产权一居室 总价低,中海御鑫阁 , 1室0厅 , 40平米 ,11人关注 , 共0次带看 , 28天以前发布,276,单价69000元/平米,丰台,"116.305143,39.825059"
11174,蔚园 1室1厅 250万,蔚园 , 1室1厅 , 45.86平米 ,34人关注 , 共0次带看 , 10天以前发布,250,单价54514元/平米,丰台,"116.26973,39.901123"
11175,华富丽苑 1室1厅 375万,华富丽苑 , 1室1厅 , 68.53平米 ,1人关注 , 共1次带看 , 23天以前发布,375,单价54721元/平米,丰台,"116.257914,39.897113"
11176,万恒家园 2室2厅 600万,万恒家园 , 2室2厅 , 96.89平米 ,3人关注 , 共0次带看 , 20天以前发布,600,单价61926元/平米,丰台,"116.254897,39.870418"
11177,宜兰园 3室2厅 540万,宜兰园 , 3室2厅 , 113.41平米 ,0人关注 , 共3次带看 , 1个月以前发布,540,单价47615元/平米,丰台,"116.345204,39.833793"
11178,御景春天底商  上下两层   业主诚心出售,御景春天 , 2室2厅 , 215平米 ,0人关注 , 共0次带看 , 2个月以前发布,1900,单价88373元/平米,丰台,"116.297118,39.822622"
11179,春园 1室1厅 330万,春园 , 1室1厅 , 51.85平米 ,1人关注 , 共0次带看 , 16天以前发布,330,单价63646元/平米,丰台,"116.262442,39.897184"
11180,红星北里 2室2厅 358万,红星北里 , 2室2厅 , 70平米 ,2人关注 , 共0次带看 , 12天以前发布,358,单价51143元/平米,丰台,"116.433392,39.813832"
11181,胡桃园 3室1厅 655万,胡桃园 , 3室1厅 , 125.94平米 ,3人关注 , 共10次带看 , 27天以前发布,655,单价52009元/平米,丰台,"116.2882,39.878001"
11182,太平桥西里 1室1厅 325万,太平桥西里 , 1室1厅 , 37.84平米 ,2人关注 , 共2次带看 , 21天以前发布,325,单价85888元/平米,丰台,"116.320535,39.890098"
11183,珠江峰景 3室1厅 760万,珠江峰景 , 3室1厅 , 120平米 ,0人关注 , 共1次带看 , 5天以前发布,760,单价63334元/平米,丰台,"116.272928,39.885267"
11184,新村三里 2室1厅 270万,新村三里 , 2室1厅 , 56.69平米 ,7人关注 , 共2次带看 , 26天以前发布,270,单价47628元/平米,丰台,"116.322472,39.840662"
11185,芳星园一区 3室1厅 595万,芳星园一区 , 3室1厅 , 82.88平米 ,4人关注 , 共0次带看 , 刚刚发布,595,单价71791元/平米,丰台,"116.439722,39.868674"
11186,益丰苑 2室1厅 650万,益丰苑 , 2室1厅 , 83.95平米 ,5人关注 , 共4次带看 , 24天以前发布,650,单价77428元/平米,丰台,"116.315226,39.883058"
11187,万科紫台 3室2厅 1170万,万科紫台 , 3室2厅 , 169平米 ,0人关注 , 共0次带看 , 7天以前发布,1170,单价69231元/平米,丰台,"116.27162,39.888609"
11188,晶城秀府 2室2厅 820万,晶城秀府 , 2室2厅 , 118.53平米 ,2人关注 , 共0次带看 , 刚刚发布,820,单价69181元/平米,丰台,"116.447278,39.852879"
11189,和光里 2室1厅 520万,和光里 , 2室1厅 , 94.77平米 ,3人关注 , 共0次带看 , 刚刚发布,520,单价54870元/平米,丰台,"116.266964,39.868025"
11190,华芳园 2室1厅 570万,华芳园 , 2室1厅 , 86.8平米 ,0人关注 , 共0次带看 , 1个月以前发布,570,单价65669元/平米,丰台,"116.451194,39.854478"
11191,成寿寺路25号院 2室1厅 600万,成寿寺路25号院 , 2室1厅 , 98.01平米 ,2人关注 , 共1次带看 , 刚刚发布,600,单价61219元/平米,丰台,"116.451527,39.857157"
11192,丰泽居三号院 3室2厅 650万,丰泽居三号院 , 3室2厅 , 114平米 ,2人关注 , 共0次带看 , 26天以前发布,650,单价57018元/平米,丰台,"116.297523,39.840867"
11193,红狮家园 1室1厅 480万,红狮家园 , 1室1厅 , 70.76平米 ,0人关注 , 共0次带看 , 刚刚发布,480,单价67835元/平米,丰台,"116.435735,39.853176"
11194,顺四条甲20号院 1室1厅 340万,顺四条甲20号院 , 1室1厅 , 58.93平米 ,5人关注 , 共0次带看 , 刚刚发布,340,单价57696元/平米,丰台,"116.432734,39.859452"
11195,富丰园小区 1室1厅 275万,富丰园小区 , 1室1厅 , 48.7平米 ,1人关注 , 共0次带看 , 刚刚发布,275,单价56469元/平米,丰台,"116.290339,39.843274"
11196,青秀城 3室1厅 850万,青秀城 , 3室1厅 , 126.33平米 ,3人关注 , 共0次带看 , 刚刚发布,850,单价67285元/平米,丰台,"116.349493,39.841663"
11197,望园东里 2室1厅 470万,望园东里 , 2室1厅 , 83.35平米 ,2人关注 , 共0次带看 , 1个月以前发布,470,单价56389元/平米,丰台,"116.295938,39.873528"
11198,莲花池南里 1室1厅 305万,莲花池南里 , 1室1厅 , 38.4平米 ,2人关注 , 共1次带看 , 2个月以前发布,305,单价79428元/平米,丰台,"116.32279,39.894114"
11199,和光里 2室1厅 530万,和光里 , 2室1厅 , 94.77平米 ,1人关注 , 共0次带看 , 18天以前发布,530,单价55925元/平米,丰台,"116.266964,39.868025"
11200,新村二里 1室1厅 205万,新村二里 , 1室1厅 , 36.8平米 ,8人关注 , 共3次带看 , 1个月以前发布,205,单价55707元/平米,丰台,"116.313005,39.846449"
11201,南苑北里四区 2室1厅 271万,南苑北里四区 , 2室1厅 , 56.59平米 ,12人关注 , 共0次带看 , 刚刚发布,271,单价47889元/平米,丰台,"116.403245,39.813366"
11202,芳城园二区 3室1厅 730万,芳城园二区 , 3室1厅 , 89.4平米 ,1人关注 , 共29次带看 , 1个月以前发布,730,单价81656元/平米,丰台,"116.438765,39.873373"
11203,西陆名门 2室2厅 550万,西陆名门 , 2室2厅 , 98.95平米 ,1人关注 , 共0次带看 , 刚刚发布,550,单价55584元/平米,丰台,"116.307359,39.848794"
11204,丰卉家园 2室1厅 600万,丰卉家园 , 2室1厅 , 94.22平米 ,0人关注 , 共0次带看 , 27天以前发布,600,单价63681元/平米,丰台,"116.272531,39.859806"
11205,春园 1室1厅 330万,春园 , 1室1厅 , 51.85平米 ,1人关注 , 共0次带看 , 16天以前发布,330,单价63646元/平米,丰台,"116.262442,39.897184"
11206,南三环中路 2室1厅 395万,南三环中路 , 2室1厅 , 65.76平米 ,4人关注 , 共0次带看 , 刚刚发布,395,单价60067元/平米,丰台,"116.422817,39.862947"
11207,万年花城回迁 2室1厅 470万,万年花城回迁 , 2室1厅 , 72.74平米 ,1人关注 , 共0次带看 , 刚刚发布,470,单价64614元/平米,丰台,"116.328105,39.849492"
11208,三环新城7号院 2室1厅 540万,三环新城7号院 , 2室1厅 , 91.93平米 ,1人关注 , 共0次带看 , 12天以前发布,540,单价58741元/平米,丰台,"116.315096,39.857138"
11209,临泓路6号院 1室1厅 395万,临泓路6号院 , 1室1厅 , 63.3平米 ,2人关注 , 共0次带看 , 1天以前发布,395,单价62402元/平米,丰台,"116.404524,39.851605"
11210,芳群园一区 2室1厅 520万,芳群园一区 , 2室1厅 , 80.55平米 ,1人关注 , 共1次带看 , 15天以前发布,520,单价64557元/平米,丰台,"116.430848,39.869676"
11211,玺萌丽苑 1室1厅 390万,玺萌丽苑 , 1室1厅 , 57.12平米 ,1人关注 , 共0次带看 , 30天以前发布,390,单价68278元/平米,丰台,"116.369971,39.856204"
11212,丰泽居三号院 3室2厅 650万,丰泽居三号院 , 3室2厅 , 114平米 ,2人关注 , 共0次带看 , 26天以前发布,650,单价57018元/平米,丰台,"116.297523,39.840867"
11213,红狮家园 1室1厅 480万,红狮家园 , 1室1厅 , 70.76平米 ,0人关注 , 共0次带看 , 刚刚发布,480,单价67835元/平米,丰台,"116.435735,39.853176"
11214,和光里 2室1厅 520万,和光里 , 2室1厅 , 94.77平米 ,3人关注 , 共0次带看 , 刚刚发布,520,单价54870元/平米,丰台,"116.266964,39.868025"
11215,华芳园 2室1厅 570万,华芳园 , 2室1厅 , 86.8平米 ,0人关注 , 共0次带看 , 1个月以前发布,570,单价65669元/平米,丰台,"116.451194,39.854478"
11216,丰卉家园 2室1厅 600万,丰卉家园 , 2室1厅 , 94.22平米 ,0人关注 , 共0次带看 , 27天以前发布,600,单价63681元/平米,丰台,"116.272531,39.859806"
11217,顺四条甲20号院 1室1厅 340万,顺四条甲20号院 , 1室1厅 , 58.93平米 ,5人关注 , 共0次带看 , 刚刚发布,340,单价57696元/平米,丰台,"116.432734,39.859452"
11218,富丰园小区 1室1厅 275万,富丰园小区 , 1室1厅 , 48.7平米 ,1人关注 , 共0次带看 , 刚刚发布,275,单价56469元/平米,丰台,"116.290339,39.843274"
11219,和义东里四区 2室1厅 300万,和义东里四区 , 2室1厅 , 54.52平米 ,2人关注 , 共0次带看 , 17天以前发布,300,单价55026元/平米,丰台,"116.409629,39.822715"
11220,和光里 2室1厅 530万,和光里 , 2室1厅 , 94.77平米 ,1人关注 , 共0次带看 , 18天以前发布,530,单价55925元/平米,丰台,"116.266964,39.868025"
11221,成寿寺路25号院 2室1厅 600万,成寿寺路25号院 , 2室1厅 , 98.01平米 ,2人关注 , 共1次带看 , 刚刚发布,600,单价61219元/平米,丰台,"116.451527,39.857157"
11222,青秀城 3室1厅 850万,青秀城 , 3室1厅 , 126.33平米 ,3人关注 , 共0次带看 , 刚刚发布,850,单价67285元/平米,丰台,"116.349493,39.841663"
11223,新村二里 1室1厅 205万,新村二里 , 1室1厅 , 36.8平米 ,8人关注 , 共3次带看 , 1个月以前发布,205,单价55707元/平米,丰台,"116.313005,39.846449"
11224,太平桥西里 1室1厅 325万,太平桥西里 , 1室1厅 , 37.84平米 ,2人关注 , 共2次带看 , 21天以前发布,325,单价85888元/平米,丰台,"116.320535,39.890098"
11225,珠江峰景 3室1厅 760万,珠江峰景 , 3室1厅 , 120平米 ,0人关注 , 共1次带看 , 5天以前发布,760,单价63334元/平米,丰台,"116.272928,39.885267"
11226,新村三里 2室1厅 270万,新村三里 , 2室1厅 , 56.69平米 ,7人关注 , 共2次带看 , 26天以前发布,270,单价47628元/平米,丰台,"116.322472,39.840662"
11227,芳星园一区 3室1厅 595万,芳星园一区 , 3室1厅 , 82.88平米 ,4人关注 , 共0次带看 , 刚刚发布,595,单价71791元/平米,丰台,"116.439722,39.868674"
